,Insect,Date,Crop,Temperature,Number of Insects,Season,Humidity,Location,Crop Habitat,Wind,Rain,Sunlight,Egg Hatch,Infestation
3733,2,28/10/2023 00:00,1,2,8,4,0,0,0,0,1,10,0,0
3736,2,29/10/2023 00:00,1,2,15,4,0,0,0,1,0,12,0,0
3739,2,30/10/2023 00:00,1,2,22,4,0,0,0,0,0,14,1,0
3742,2,31/10/2023 00:00,1,2,9,4,0,0,0,0,1,11,0,0
3745,2,01/11/2023 00:00,1,1,8,4,0,0,0,1,1,10,0,0
3748,2,02/11/2023 00:00,1,3,10,4,0,0,0,0,1,11,0,0
3751,2,03/11/2023 00:00,1,1,15,4,0,0,0,0,1,8,0,0
3754,2,04/11/2023 00:00,1,0,4,4,0,0,0,1,0,5,0,0
3757,2,05/11/2023 00:00,1,0,10,4,0,0,0,0,0,5,0,0
3760,2,06/11/2023 00:00,1,0,6,4,0,0,0,0,1,6,0,0
3763,2,07/11/2023 00:00,1,2,17,4,1,0,0,0,0,11,0,0
3766,2,08/11/2023 00:00,1,2,16,4,1,0,0,0,0,13,0,0
3769,2,09/11/2023 00:00,1,1,24,4,1,0,0,0,0,11,0,0
3772,2,10/11/2023 00:00,1,2,32,4,1,0,0,0,0,13,1,0
3775,2,11/11/2023 00:00,1,1,38,4,1,0,0,0,0,12,0,1
3778,2,12/11/2023 00:00,1,2,12,4,0,0,0,0,0,14,0,0
3781,2,13/11/2023 00:00,1,2,12,4,0,0,0,0,1,11,0,0
3784,2,14/11/2023 00:00,1,2,6,4,0,0,0,0,1,8,0,0
3787,2,15/11/2023 00:00,1,1,6,4,0,0,0,1,1,9,0,0
3790,2,16/11/2023 00:00,1,2,15,4,0,0,0,1,0,7,0,0
3793,2,17/11/2023 00:00,1,3,27,4,0,0,0,0,0,7,1,0
3796,2,18/11/2023 00:00,1,0,7,4,0,0,0,1,1,6,0,0
3799,2,19/11/2023 00:00,1,1,7,4,0,0,0,1,1,5,0,0
3802,2,20/11/2023 00:00,1,0,7,4,0,0,0,0,0,5,0,0
3805,2,21/11/2023 00:00,1,0,6,4,0,0,0,1,0,4,0,0
3808,2,22/11/2023 00:00,1,0,4,4,0,0,0,0,1,5,0,0
3811,2,23/11/2023 00:00,1,1,13,4,0,0,0,1,0,10,0,0
3814,2,24/11/2023 00:00,1,2,18,4,0,0,0,0,1,9,0,0
3817,2,25/11/2023 00:00,1,2,20,4,1,0,0,0,0,11,0,0
3820,2,26/11/2023 00:00,1,2,23,4,1,0,0,0,0,14,1,0
3823,2,27/11/2023 00:00,1,1,27,4,1,0,0,0,0,14,0,0
3826,2,28/11/2023 00:00,1,2,32,4,1,0,0,0,0,13,0,0
3829,2,29/11/2023 00:00,1,1,37,4,1,0,0,0,0,10,0,1
3832,2,30/11/2023 00:00,1,0,2,4,0,0,0,0,1,4,0,0
3835,2,01/12/2023 00:00,1,0,5,4,0,0,0,0,0,6,0,0
3838,2,02/12/2023 00:00,1,1,9,4,0,0,0,1,1,12,0,0
3841,2,03/12/2023 00:00,1,3,15,4,0,0,0,0,0,13,0,0
3844,2,04/12/2023 00:00,1,2,23,4,0,0,0,0,0,8,0,0
3847,2,05/12/2023 00:00,1,2,8,4,0,0,0,0,1,9,0,0
3850,2,06/12/2023 00:00,1,2,15,4,0,0,0,1,0,11,0,0
3853,2,07/12/2023 00:00,1,2,22,4,0,0,0,0,0,14,1,0
3856,2,08/12/2023 00:00,1,2,8,4,0,0,0,0,1,11,0,0
3859,2,09/12/2023 00:00,1,1,8,4,0,0,0,1,1,10,0,0
3862,2,10/12/2023 00:00,1,3,11,4,0,0,0,0,1,14,0,0
3865,2,11/12/2023 00:00,1,1,15,4,0,0,0,0,1,9,0,0
3868,2,12/12/2023 00:00,1,0,4,4,0,0,0,1,0,2,0,0
3871,2,13/12/2023 00:00,1,0,8,4,0,0,0,0,0,5,0,0
3874,2,14/12/2023 00:00,1,0,5,4,0,0,0,0,1,6,0,0
3877,2,15/12/2023 00:00,1,2,16,4,1,0,0,0,0,10,0,0
3880,2,16/12/2023 00:00,1,2,18,4,1,0,0,0,0,12,0,0
3883,2,17/12/2023 00:00,1,1,25,4,1,0,0,0,0,11,0,0
3886,2,18/12/2023 00:00,1,2,33,4,1,0,0,0,0,13,1,0
3889,2,19/12/2023 00:00,1,1,40,4,1,0,0,0,0,12,0,1
3892,2,20/12/2023 00:00,1,2,11,4,0,0,0,0,0,14,0,0
3895,2,21/12/2023 00:00,1,2,12,4,0,0,0,0,1,11,0,0
3898,2,22/12/2023 00:00,1,2,7,4,0,0,0,0,1,8,0,0
3901,2,23/12/2023 00:00,1,1,6,4,0,0,0,1,1,9,0,0
3904,2,24/12/2023 00:00,1,2,13,4,0,0,0,1,0,7,0,0
3907,2,25/12/2023 00:00,1,3,23,4,0,0,0,0,0,7,1,0
3910,2,26/12/2023 00:00,1,1,7,4,0,0,0,1,1,6,0,0
3913,2,27/12/2023 00:00,1,0,6,4,0,0,0,1,1,5,0,0
3916,2,28/12/2023 00:00,1,0,8,4,0,0,0,0,0,5,0,0
3919,2,29/12/2023 00:00,1,0,6,4,0,0,0,1,0,4,0,0
3922,2,30/12/2023 00:00,1,0,4,4,0,0,0,0,1,5,0,0
3925,2,31/12/2023 00:00,1,1,14,4,0,0,0,1,0,10,0,0
3928,2,01/01/2024 00:00,1,2,18,4,0,0,0,0,1,9,0,0
3931,2,02/01/2024 00:00,1,2,22,4,1,0,0,0,0,11,0,0
3934,2,03/01/2024 00:00,1,2,26,4,1,0,0,0,0,14,1,0
3937,2,04/01/2024 00:00,1,1,31,4,1,0,0,0,0,12,0,0
3940,2,05/01/2024 00:00,1,2,34,4,1,0,0,0,0,13,0,0
3943,2,06/01/2024 00:00,1,1,38,4,1,0,0,0,0,10,0,1
3946,2,07/01/2024 00:00,1,0,5,4,0,0,0,0,1,5,0,0
3949,2,08/01/2024 00:00,1,0,4,4,0,0,0,0,0,4,0,0
3952,2,09/01/2024 00:00,1,1,9,4,0,0,0,1,1,12,0,0
3955,2,10/01/2024 00:00,1,3,20,4,0,0,0,0,0,13,0,0
3958,2,11/01/2024 00:00,1,2,25,4,0,0,0,0,0,12,0,0
3961,2,12/01/2024 00:00,1,2,8,4,0,0,0,0,1,11,0,0
3964,2,13/01/2024 00:00,1,2,16,4,0,0,0,1,0,12,0,0
3967,2,14/01/2024 00:00,1,2,22,4,0,0,0,0,0,14,1,0
3970,2,15/01/2024 00:00,1,2,7,4,0,0,0,0,1,11,0,0
3973,2,16/01/2024 00:00,1,1,9,4,0,0,0,1,1,10,0,0
3976,2,17/01/2024 00:00,1,3,9,4,0,0,0,0,1,11,0,0
3979,2,18/01/2024 00:00,1,1,15,4,0,0,0,0,1,8,0,0
3982,2,19/01/2024 00:00,1,0,4,4,0,0,0,1,0,5,0,0
3985,2,20/01/2024 00:00,1,0,9,4,0,0,0,0,0,5,0,0
3988,2,21/01/2024 00:00,1,0,6,4,0,0,0,0,1,6,0,0
3991,2,22/01/2024 00:00,1,2,17,4,1,0,0,0,0,11,0,0
3994,2,23/01/2024 00:00,1,2,17,4,1,0,0,0,0,13,0,0
3997,2,24/01/2024 00:00,1,1,23,4,1,0,0,0,0,11,0,0
4000,2,25/01/2024 00:00,1,2,32,4,1,0,0,0,0,13,1,0
4003,2,26/01/2024 00:00,1,1,40,4,1,0,0,0,0,12,0,1
4006,2,27/01/2024 00:00,1,2,11,4,0,0,0,0,0,14,0,0
4009,2,28/01/2024 00:00,1,2,12,4,0,0,0,0,1,11,0,0
4012,2,29/01/2024 00:00,1,2,7,4,0,0,0,0,1,8,0,0
4015,2,30/01/2024 00:00,1,1,5,4,0,0,0,1,1,9,0,0
4018,2,31/01/2024 00:00,1,2,13,4,0,0,0,1,0,7,0,0
4021,2,01/02/2024 00:00,1,1,32,4,0,0,0,0,0,7,1,0
4024,2,02/02/2024 00:00,1,0,6,4,0,0,0,1,1,3,0,0
4027,2,03/02/2024 00:00,1,0,5,4,0,0,0,1,1,5,0,0
4030,2,04/02/2024 00:00,1,0,7,4,0,0,0,0,0,5,0,0
4033,2,05/02/2024 00:00,1,0,8,4,0,0,0,1,0,4,0,0
4036,2,06/02/2024 00:00,1,0,5,4,0,0,0,0,1,5,0,0
4039,2,07/02/2024 00:00,1,1,13,4,0,0,0,1,0,10,0,0
4042,2,08/02/2024 00:00,1,2,18,4,0,0,0,0,1,9,0,0
4045,2,09/02/2024 00:00,1,2,20,4,1,0,0,0,0,11,0,0
4048,2,10/02/2024 00:00,1,2,23,4,1,0,0,0,0,14,1,0
4051,2,11/02/2024 00:00,1,1,27,4,1,0,0,0,0,14,0,0
4054,2,12/02/2024 00:00,1,2,32,4,1,0,0,0,0,13,0,0
4057,2,13/02/2024 00:00,1,1,37,4,1,0,0,0,0,10,0,1
4060,2,14/02/2024 00:00,1,3,16,4,0,0,0,0,1,12,0,0
4063,2,15/02/2024 00:00,1,1,17,4,0,0,0,0,1,9,0,0
4066,2,16/02/2024 00:00,1,0,9,4,0,0,0,1,0,6,0,0
4069,2,17/02/2024 00:00,1,0,9,4,0,0,0,0,0,5,0,0
4072,2,18/02/2024 00:00,1,0,3,4,0,0,0,0,1,6,0,0
4075,2,19/02/2024 00:00,1,2,13,4,1,0,0,0,0,9,0,0
4078,2,20/02/2024 00:00,1,2,17,4,1,0,0,0,0,12,0,0
4081,2,21/02/2024 00:00,1,1,25,4,1,0,0,0,0,11,0,0
4084,2,22/02/2024 00:00,1,2,30,4,1,0,0,0,0,13,1,0
4087,2,23/02/2024 00:00,1,1,38,4,1,0,0,0,0,14,0,1
4090,2,24/02/2024 00:00,1,2,12,4,0,0,0,0,0,12,0,0
4093,2,25/02/2024 00:00,1,2,12,4,0,0,0,0,1,14,0,0
4096,2,26/02/2024 00:00,1,2,8,4,0,0,0,0,1,8,0,0
4099,2,27/02/2024 00:00,1,1,8,4,0,0,0,1,1,9,0,0
4102,2,28/02/2024 00:00,1,2,15,4,0,0,0,1,0,7,0,0
4105,2,29/02/2024 00:00,1,3,25,4,0,0,0,0,0,7,1,0
4108,2,01/03/2024 00:00,1,1,9,4,0,0,0,1,1,6,0,0
4111,2,02/03/2024 00:00,1,0,8,4,0,0,0,1,1,5,0,0
4114,2,03/03/2024 00:00,1,0,5,4,0,0,0,1,0,4,0,0
4117,2,04/03/2024 00:00,1,0,5,4,0,0,0,0,1,5,0,0
4120,2,05/03/2024 00:00,1,1,12,4,0,0,0,1,0,10,0,0
4123,2,06/03/2024 00:00,1,2,18,4,0,0,0,0,1,9,0,0
4126,2,07/03/2024 00:00,1,2,21,4,1,0,0,0,0,8,1,0
4129,2,08/03/2024 00:00,1,2,26,4,1,0,0,0,0,11,0,0
4132,2,09/03/2024 00:00,1,1,28,4,1,0,0,0,0,14,0,0
4135,2,10/03/2024 00:00,1,2,33,4,1,0,0,0,0,13,0,0
4138,2,11/03/2024 00:00,1,1,36,4,1,0,0,0,0,10,0,1
4141,2,12/03/2024 00:00,1,0,6,4,0,0,0,1,0,5,0,0
4144,2,13/03/2024 00:00,1,0,5,4,0,0,0,0,1,6,0,0
4147,2,14/03/2024 00:00,1,1,11,4,0,0,0,1,0,9,0,0
4150,2,15/03/2024 00:00,1,2,15,4,0,0,0,0,1,10,0,0
4153,2,16/03/2024 00:00,1,2,23,4,1,0,0,0,0,12,0,0
4156,2,17/03/2024 00:00,1,2,26,4,1,0,0,0,0,14,1,0
4159,2,18/03/2024 00:00,1,1,33,4,1,0,0,0,0,12,0,0
4162,2,19/03/2024 00:00,1,2,36,4,1,0,0,0,0,12,0,0
4165,2,20/03/2024 00:00,1,1,39,4,1,0,0,0,0,11,0,1
4168,2,21/03/2024 00:00,1,0,5,4,0,0,0,0,1,6,0,0
4171,2,22/03/2024 00:00,1,0,4,4,0,0,0,0,0,4,0,0
4174,2,23/03/2024 00:00,1,1,8,4,0,0,0,1,1,10,0,0
4177,2,24/03/2024 00:00,1,3,21,4,0,0,0,0,0,12,0,0
4180,2,25/03/2024 00:00,1,2,35,4,0,0,0,0,0,12,0,0
4183,2,26/03/2024 00:00,1,2,9,4,0,0,0,0,1,11,0,0
4186,2,27/03/2024 00:00,1,2,16,4,0,0,0,1,0,12,0,0
4189,2,28/03/2024 00:00,1,2,25,4,0,0,0,0,0,14,1,0
4192,2,29/03/2024 00:00,1,2,9,4,0,0,0,0,1,11,0,0
4195,2,30/03/2024 00:00,1,1,8,4,0,0,0,1,1,10,0,0
4198,2,31/03/2024 00:00,1,3,15,4,0,0,0,0,1,8,0,0
4201,2,01/04/2024 00:00,1,1,7,4,0,0,0,0,1,5,0,0
4204,2,02/04/2024 00:00,1,1,15,4,0,0,0,1,0,10,0,0
4207,2,03/04/2024 00:00,1,2,15,4,0,0,0,0,1,9,0,0
4210,2,04/04/2024 00:00,1,2,16,4,1,0,0,0,0,8,1,0
4213,2,05/04/2024 00:00,1,2,12,4,1,0,0,0,0,10,0,0
4216,2,06/04/2024 00:00,1,2,17,4,1,0,0,0,0,12,0,0
4219,2,07/04/2024 00:00,1,1,23,4,1,0,0,0,0,11,0,0
4222,2,08/04/2024 00:00,1,2,30,4,1,0,0,0,0,12,0,0
4225,2,09/04/2024 00:00,1,1,34,4,1,0,0,0,0,14,0,1
4228,2,10/04/2024 00:00,1,2,10,4,0,0,0,0,0,12,0,0
4231,2,11/04/2024 00:00,1,2,12,4,0,0,0,0,1,14,0,0
4234,2,12/04/2024 00:00,1,2,11,4,0,0,0,0,1,11,0,0
4237,2,13/04/2024 00:00,1,1,13,4,0,0,0,1,1,9,0,0
4240,2,14/04/2024 00:00,1,2,14,4,0,0,0,1,0,7,0,0
4243,2,15/04/2024 00:00,1,3,22,4,0,0,0,0,0,12,1,0
4246,2,16/04/2024 00:00,1,1,10,4,0,0,0,1,1,9,0,0
4249,2,17/04/2024 00:00,1,0,6,4,0,0,0,0,1,4,0,0
4252,2,18/04/2024 00:00,1,0,7,4,0,0,0,0,0,6,0,0
4255,2,19/04/2024 00:00,1,1,7,4,0,0,0,1,1,12,0,0
4258,2,20/04/2024 00:00,1,3,19,4,0,0,0,0,0,14,0,0
4261,2,21/04/2024 00:00,1,2,26,4,0,0,0,0,0,13,0,0
4264,2,22/04/2024 00:00,1,2,10,4,0,0,0,0,1,13,0,0
4267,2,23/04/2024 00:00,1,2,15,4,0,0,0,1,0,12,0,0
4270,2,24/04/2024 00:00,1,2,24,4,0,0,0,0,0,14,1,0
4273,2,25/04/2024 00:00,1,2,12,4,0,0,0,0,1,11,0,0
4276,2,26/04/2024 00:00,1,1,7,4,0,0,0,1,1,10,0,0
4279,2,27/04/2024 00:00,1,3,14,4,0,0,0,0,1,11,0,0
4282,2,28/04/2024 00:00,1,1,17,4,0,0,0,0,1,8,0,0
4285,2,29/04/2024 00:00,1,0,4,4,0,0,0,1,0,5,0,0
4288,2,30/04/2024 00:00,1,0,9,4,0,0,0,0,0,5,0,0
4291,2,01/05/2024 00:00,1,1,5,4,0,0,0,1,1,9,0,0
4294,2,02/05/2024 00:00,1,2,13,4,0,0,0,1,0,7,0,0
4297,2,03/05/2024 00:00,1,3,32,4,0,0,0,0,0,7,1,0
4300,2,04/05/2024 00:00,1,0,6,4,0,0,0,1,1,3,0,0
4303,2,05/05/2024 00:00,1,0,5,4,0,0,0,1,1,5,0,0
4306,2,06/05/2024 00:00,1,0,7,4,0,0,0,0,0,5,0,0
4309,2,07/05/2024 00:00,1,0,8,4,0,0,0,1,0,4,0,0
4312,2,08/05/2024 00:00,1,0,5,4,0,0,0,0,1,5,0,0
4315,2,09/05/2024 00:00,1,1,13,4,0,0,0,1,0,10,0,0
4318,2,10/05/2024 00:00,1,2,18,4,0,0,0,0,1,9,0,0
4321,2,11/05/2024 00:00,1,2,20,4,1,0,0,0,0,11,0,0
4324,2,12/05/2024 00:00,1,2,23,4,1,0,0,0,0,14,1,0
4327,2,13/05/2024 00:00,1,1,27,4,1,0,0,0,0,14,0,0
4330,2,14/05/2024 00:00,1,2,32,4,1,0,0,0,0,13,0,0
4333,2,15/05/2024 00:00,1,1,37,4,1,0,0,0,0,10,0,1
4336,2,16/05/2024 00:00,1,3,16,4,0,0,0,0,1,12,0,0
4339,2,17/05/2024 00:00,1,1,17,4,0,0,0,0,1,9,0,0
4342,2,18/05/2024 00:00,1,0,9,4,0,0,0,1,0,6,0,0
4345,2,19/05/2024 00:00,1,0,9,4,0,0,0,0,0,5,0,0
4348,2,20/05/2024 00:00,1,0,3,4,0,0,0,0,1,6,0,0
4351,2,21/05/2024 00:00,1,2,13,4,1,0,0,0,0,9,0,0
4354,2,22/05/2024 00:00,1,2,17,4,1,0,0,0,0,12,0,0
4357,2,23/05/2024 00:00,1,1,25,4,1,0,0,0,0,11,0,0
4360,2,24/05/2024 00:00,1,2,30,4,1,0,0,0,0,13,1,0
4363,2,25/05/2024 00:00,1,1,38,4,1,0,0,0,0,14,0,1
4366,2,26/05/2024 00:00,1,2,12,4,0,0,0,0,0,12,0,0
4369,2,27/05/2024 00:00,1,2,12,4,0,0,0,0,1,14,0,0
4372,2,28/05/2024 00:00,1,2,8,4,0,0,0,0,1,8,0,0
4375,2,29/05/2024 00:00,1,1,8,4,0,0,0,1,1,9,0,0
4378,2,30/05/2024 00:00,1,2,15,4,0,0,0,1,0,7,0,0
4381,2,31/05/2024 00:00,1,1,8,4,0,0,0,1,1,10,0,0
4384,2,01/06/2024 00:00,1,3,10,4,0,0,0,0,1,11,0,0
4387,2,02/06/2024 00:00,1,1,15,4,0,0,0,0,1,8,0,0
4390,2,03/06/2024 00:00,1,0,4,4,0,0,0,1,0,5,0,0
4393,2,04/06/2024 00:00,1,0,10,4,0,0,0,0,0,5,0,0
4396,2,05/06/2024 00:00,1,0,6,4,0,0,0,0,1,6,0,0
4399,2,06/06/2024 00:00,1,2,17,4,1,0,0,0,0,11,0,0
4402,2,07/06/2024 00:00,1,2,16,4,1,0,0,0,0,13,0,0
4405,2,08/06/2024 00:00,1,1,24,4,1,0,0,0,0,11,0,0
4408,2,09/06/2024 00:00,1,2,32,4,1,0,0,0,0,13,1,0
4411,2,10/06/2024 00:00,1,1,38,4,1,0,0,0,0,12,0,1
4414,2,11/06/2024 00:00,1,2,12,4,0,0,0,0,0,14,0,0
4417,2,12/06/2024 00:00,1,2,12,4,0,0,0,0,1,11,0,0
4420,2,13/06/2024 00:00,1,2,6,4,0,0,0,0,1,8,0,0
4423,2,14/06/2024 00:00,1,1,6,4,0,0,0,1,1,9,0,0
4426,2,15/06/2024 00:00,1,2,15,4,0,0,0,1,0,7,0,0
4429,2,16/06/2024 00:00,1,3,27,4,0,0,0,0,0,7,1,0
4432,2,17/06/2024 00:00,1,0,7,4,0,0,0,1,1,6,0,0
4435,2,18/06/2024 00:00,1,1,7,4,0,0,0,1,1,5,0,0
4438,2,19/06/2024 00:00,1,0,7,4,0,0,0,0,0,5,0,0
4441,2,20/06/2024 00:00,1,0,6,4,0,0,0,1,0,4,0,0
4444,2,21/06/2024 00:00,1,0,4,4,0,0,0,0,1,5,0,0
4447,2,22/06/2024 00:00,1,1,13,4,0,0,0,1,0,10,0,0
4450,2,23/06/2024 00:00,1,2,18,4,0,0,0,0,1,9,0,0
4453,2,24/06/2024 00:00,1,2,20,4,1,0,0,0,0,11,0,0
4456,2,25/06/2024 00:00,1,2,23,4,1,0,0,0,0,14,1,0
4459,2,26/06/2024 00:00,1,1,27,4,1,0,0,0,0,14,0,0
4462,2,27/06/2024 00:00,1,2,32,4,1,0,0,0,0,13,0,0
4465,2,28/06/2024 00:00,1,1,37,4,1,0,0,0,0,10,0,1
4468,2,29/06/2024 00:00,1,0,4,4,0,0,0,0,1,6,0,0
4471,2,30/06/2024 00:00,1,2,15,4,1,0,0,0,0,10,0,0
